Id,gameid,Team 1,League,Date,Team 2,Blue team losing,Blue team winning
,ESPORTSTMNT04_2669278,Papara SuperMassive,TCL,23/03/2023 19:43,NASR eSports Turkey,2.5,1.7
,ESPORTSTMNT04_2670283,Papara SuperMassive,TCL,23/03/2023 18:35,NASR eSports Turkey,2.5,1.7
,ESPORTSTMNT04_2672244,Papara SuperMassive,TCL,23/03/2023 17:33,NASR eSports Turkey,2.5,1.7
,ESPORTSTMNT04_2672234,BeÅŸiktaÅŸ Esports,TCL,22/03/2023 21:15,Dark Passage,2.7,1.64
,ESPORTSTMNT04_2669262,Dark Passage,TCL,22/03/2023 20:19,BeÅŸiktaÅŸ Esports,1.64,2.7
,ESPORTSTMNT04_2672233,BeÅŸiktaÅŸ Esports,TCL,22/03/2023 19:20,Dark Passage,2.7,1.64
,ESPORTSTMNT04_2669258,Dark Passage,TCL,22/03/2023 18:32,BeÅŸiktaÅŸ Esports,1.64,2.7
,ESPORTSTMNT04_2670254,BeÅŸiktaÅŸ Esports,TCL,22/03/2023 17:35,Dark Passage,2.7,1.64
,ESPORTSTMNT06_2774830,Ä°stanbul Wildcats,TCL,17/03/2023 19:04,Papara SuperMassive,2.75,1.6
,ESPORTSTMNT06_2775792,BeÅŸiktaÅŸ Esports,TCL,17/03/2023 18:05,FUT Esports,1.57,2.38
,ESPORTSTMNT06_2773802,5 Ronin,TCL,17/03/2023 16:59,NASR eSports Turkey,1.24,5.5
,ESPORTSTMNT06_2773798,Galakticos,TCL,17/03/2023 16:04,Dark Passage,1.49,2.79
,ESPORTSTMNT06_2775754,Dark Passage,TCL,16/03/2023 18:44,NASR eSports Turkey,2.1,1.9
,ESPORTSTMNT06_2773763,5 Ronin,TCL,16/03/2023 17:50,Papara SuperMassive,1.13,7
,ESPORTSTMNT06_2774779,FUT Esports,TCL,16/03/2023 16:58,Galakticos,3.8,1.35
,ESPORTSTMNT06_2773751,BeÅŸiktaÅŸ Esports,TCL,16/03/2023 16:01,Ä°stanbul Wildcats,1.41,3.2
,ESPORTSTMNT06_2773398,Papara SuperMassive,TCL,10/03/2023 19:18,Dark Passage,2.51,1.62
,ESPORTSTMNT06_2774386,Ä°stanbul Wildcats,TCL,10/03/2023 18:04,5 Ronin,7.54,1.09
,ESPORTSTMNT06_2773377,BeÅŸiktaÅŸ Esports,TCL,10/03/2023 17:06,Galakticos,2.31,1.67
,ESPORTSTMNT06_2774378,FUT Esports,TCL,10/03/2023 16:05,NASR eSports Turkey,3.01,1.42
,ESPORTSTMNT06_2775305,BeÅŸiktaÅŸ Esports,TCL,09/03/2023 18:50,NASR eSports Turkey,2.4,1.79
,ESPORTSTMNT06_2775296,Ä°stanbul Wildcats,TCL,09/03/2023 17:49,Galakticos,3.08,1.38
,ESPORTSTMNT06_2774305,5 Ronin,TCL,09/03/2023 16:55,Dark Passage,1.25,6
,ESPORTSTMNT06_2775280,Papara SuperMassive,TCL,09/03/2023 16:01,FUT Esports,2.13,2.07
