Name,Win %,patch
HeimerdingerHeimerdinger,53.66%,13.04
HeimerdingerHeimerdinger,54.69%,13.04
HeimerdingerHeimerdinger,50.98%,13.04
IllaoiIllaoi,53.59%,13.04
IreliaIrelia,53.50%,13.04
IreliaIrelia,51.47%,13.04
IvernIvern,61.54%,13.04
JannaJanna,62.16%,13.04
JannaJanna,50.60%,13.04
Jarvan IVJarvan IV,54.21%,13.04
JaxJax,55.58%,13.04
JayceJayce,51.64%,13.04
JayceJayce,59.66%,13.04
JhinJhin,50.08%,13.04
JinxJinx,49.25%,13.04
K'SanteK'Sante,51.24%,13.04
Kai'SaKai'Sa,52.48%,13.04
KalistaKalista,49.75%,13.04
KalistaKalista,41.67%,13.04
KarmaKarma,48.55%,13.04
KarthusKarthus,58.18%,13.04
KarthusKarthus,47.25%,13.04
KassadinKassadin,46.56%,13.04
KatarinaKatarina,44.69%,13.04
KayleKayle,56.20%,13.04
KayleKayle,52.73%,13.04
KaynKayn,50.72%,13.04
KaynKayn,61.90%,13.04
KennenKennen,54.95%,13.04
Kha'ZixKha'Zix,50.25%,13.04
KindredKindred,54.97%,13.04
KledKled,49.59%,13.04
KledKled,56.76%,13.04
Kog'MawKog'Maw,61.43%,13.04
LeBlancLeBlanc,55.87%,13.04
Lee SinLee Sin,52.80%,13.04
Lee SinLee Sin,53.41%,13.04
LeonaLeona,46.95%,13.04
LilliaLillia,42.62%,13.04
LissandraLissandra,55.56%,13.04
LucianLucian,49.10%,13.04
LuluLulu,51.41%,13.04
LuxLux,48.65%,13.04
LuxLux,45.32%,13.04
MalphiteMalphite,48.24%,13.04
MalphiteMalphite,59.09%,13.04
MalzaharMalzahar,54.84%,13.04
MaokaiMaokai,56.67%,13.04
MaokaiMaokai,51.43%,13.04
MaokaiMaokai,56.00%,13.04
Master YiMaster Yi,50.61%,13.04
Master YiMaster Yi,57.78%,13.04
Miss FortuneMiss Fortune,49.50%,13.04
Miss FortuneMiss Fortune,38.10%,13.04
MordekaiserMordekaiser,46.79%,13.04
MorganaMorgana,53.06%,13.04
NamiNami,53.76%,13.04
NasusNasus,54.55%,13.04
NasusNasus,50.59%,13.04
NautilusNautilus,53.67%,13.04
NeekoNeeko,56.25%,13.04
NidaleeNidalee,52.87%,13.04
NilahNilah,61.90%,13.04
NocturneNocturne,55.70%,13.04
NunuNunu,56.60%,13.04
NunuNunu,37.04%,13.04
OlafOlaf,55.12%,13.04
OlafOlaf,69.09%,13.04
OriannaOrianna,48.72%,13.04
OrnnOrnn,51.20%,13.04
PantheonPantheon,64.91%,13.04
PantheonPantheon,53.85%,13.04
PantheonPantheon,51.09%,13.04
PantheonPantheon,45.45%,13.04
PoppyPoppy,55.08%,13.04
PoppyPoppy,58.00%,13.04
PoppyPoppy,50.00%,13.04
PykePyke,56.36%,13.04
QiyanaQiyana,45.92%,13.04
QuinnQuinn,61.90%,13.04
QuinnQuinn,56.34%,13.04
RakanRakan,57.39%,13.04
RammusRammus,55.15%,13.04
Rek'SaiRek'Sai,44.62%,13.04
RellRell,48.31%,13.04
Renata GlascRenata Glasc,50.00%,13.04
RenektonRenekton,48.41%,13.04
RenektonRenekton,57.45%,13.04
RengarRengar,54.89%,13.04
RengarRengar,48.95%,13.04
RivenRiven,58.99%,13.04
RumbleRumble,55.24%,13.04
RumbleRumble,51.18%,13.04
RyzeRyze,58.82%,13.04
RyzeRyze,35.29%,13.04
SamiraSamira,49.03%,13.04
SejuaniSejuani,54.73%,13.04
SejuaniSejuani,58.62%,13.04
SennaSenna,51.88%,13.04
SennaSenna,58.49%,13.04
SeraphineSeraphine,55.56%,13.04
SeraphineSeraphine,55.91%,13.04
SeraphineSeraphine,48.19%,13.04
SettSett,46.70%,13.04
SettSett,52.00%,13.04
ShacoShaco,62.86%,13.04
ShacoShaco,46.03%,13.04
ShenShen,59.20%,13.04
ShenShen,58.33%,13.04
ShyvanaShyvana,45.00%,13.04
SingedSinged,50.91%,13.04
SingedSinged,46.67%,13.04
SionSion,51.20%,13.04
SionSion,52.63%,13.04
SivirSivir,53.04%,13.04
SkarnerSkarner,53.15%,13.04
SonaSona,55.17%,13.04
SorakaSoraka,50.30%,13.04
SwainSwain,55.93%,13.04
SwainSwain,40.00%,13.04
SylasSylas,52.80%,13.04
SylasSylas,48.67%,13.04
SyndraSyndra,50.15%,13.04
Tahm KenchTahm Kench,47.37%,13.04
TaliyahTaliyah,53.72%,13.04
TaliyahTaliyah,53.57%,13.04
TalonTalon,53.23%,13.04
TalonTalon,48.35%,13.04
TaricTaric,61.86%,13.04
TeemoTeemo,56.34%,13.04
ThreshThresh,53.36%,13.04
TristanaTristana,57.79%,13.04
TristanaTristana,53.65%,13.04
TrundleTrundle,43.75%,13.04
TryndamereTryndamere,56.34%,13.04
TryndamereTryndamere,51.22%,13.04
Twisted FateTwisted Fate,47.48%,13.04
TwitchTwitch,50.42%,13.04
TwitchTwitch,50.97%,13.04
UdyrUdyr,52.78%,13.04
UdyrUdyr,57.14%,13.04
UrgotUrgot,50.00%,13.04
VarusVarus,50.70%,13.04
VayneVayne,54.31%,13.04
VayneVayne,46.15%,13.04
VeigarVeigar,46.67%,13.04
VeigarVeigar,47.30%,13.04
Vel'KozVel'Koz,65.52%,13.04
VexVex,57.48%,13.04
ViVi,51.53%,13.04
ViegoViego,49.25%,13.04
ViktorViktor,50.61%,13.04
VladimirVladimir,50.58%,13.04
VladimirVladimir,53.00%,13.04
VolibearVolibear,66.67%,13.04
VolibearVolibear,46.99%,13.04
WarwickWarwick,50.98%,13.04
WarwickWarwick,44.00%,13.04
WukongWukong,51.00%,13.04
WukongWukong,54.69%,13.04
XayahXayah,56.47%,13.04
XerathXerath,46.81%,13.04
XerathXerath,42.11%,13.04
Xin ZhaoXin Zhao,51.39%,13.04
YasuoYasuo,50.50%,13.04
YasuoYasuo,52.08%,13.04
YoneYone,56.00%,13.04
YoneYone,48.98%,13.04
YorickYorick,50.54%,13.04
YuumiYuumi,41.30%,13.04
ZacZac,51.79%,13.04
ZacZac,53.33%,13.04
ZedZed,53.68%,13.04
ZedZed,55.03%,13.04
ZeriZeri,54.41%,13.04
ZiggsZiggs,68.85%,13.04
ZiggsZiggs,58.18%,13.04
ZileanZilean,52.38%,13.04
ZoeZoe,46.19%,13.04
ZyraZyra,44.12%,13.04
AatroxAatrox,51.53%,13.03
AhriAhri,52.94%,13.03
AkaliAkali,52.76%,13.03
AkaliAkali,39.47%,13.03
AkshanAkshan,57.69%,13.03
AkshanAkshan,57.14%,13.03
AlistarAlistar,52.73%,13.03
AlistarAlistar,35.14%,13.03
AmumuAmumu,55.56%,13.03
AmumuAmumu,44.66%,13.03
AniviaAnivia,50.29%,13.03
AnnieAnnie,61.30%,13.03
AnnieAnnie,55.56%,13.03
ApheliosAphelios,54.60%,13.03
AsheAshe,53.02%,13.03
AsheAshe,53.13%,13.03
Aurelion SolAurelion Sol,51.76%,13.03
AzirAzir,48.28%,13.03
BardBard,45.00%,13.03
Bel'VethBel'Veth,49.74%,13.03
Bel'VethBel'Veth,40.82%,13.03
BlitzcrankBlitzcrank,52.62%,13.03
BrandBrand,56.41%,13.03
BrandBrand,47.06%,13.03
BraumBraum,63.58%,13.03
CaitlynCaitlyn,50.74%,13.03
CamilleCamille,52.05%,13.03
CassiopeiaCassiopeia,57.59%,13.03
CassiopeiaCassiopeia,44.44%,13.03
Cho'GathCho'Gath,43.48%,13.03
Cho'GathCho'Gath,44.07%,13.03
CorkiCorki,68.33%,13.03
DariusDarius,51.55%,13.03
DianaDiana,53.11%,13.03
DianaDiana,50.00%,13.03
Dr. MundoDr. Mundo,66.00%,13.03
DravenDraven,51.95%,13.03
EkkoEkko,51.53%,13.03
EkkoEkko,47.90%,13.03
EliseElise,60.83%,13.03
EvelynnEvelynn,46.71%,13.03
EzrealEzreal,53.68%,13.03
FiddlesticksFiddlesticks,41.67%,13.03
FiddlesticksFiddlesticks,28.00%,13.03
FioraFiora,50.49%,13.03
FizzFizz,45.45%,13.03
GalioGalio,47.66%,13.03
GangplankGangplank,52.69%,13.03
GarenGaren,41.25%,13.03
GnarGnar,48.78%,13.03
GragasGragas,53.27%,13.03
GragasGragas,54.35%,13.03
GravesGraves,45.11%,13.03
GwenGwen,57.24%,13.03
HecarimHecarim,49.47%,13.03
HeimerdingerHeimerdinger,57.93%,13.03
HeimerdingerHeimerdinger,48.65%,13.03
HeimerdingerHeimerdinger,32.14%,13.03
HeimerdingerHeimerdinger,45.45%,13.03
IllaoiIllaoi,47.09%,13.03
IreliaIrelia,51.79%,13.03
IreliaIrelia,55.02%,13.03
IvernIvern,44.19%,13.03
JannaJanna,54.10%,13.03
Jarvan IVJarvan IV,53.41%,13.03
JaxJax,53.77%,13.03
JayceJayce,48.43%,13.03
JayceJayce,57.59%,13.03
JhinJhin,54.18%,13.03
